name,canonical_url,priority_tier,priority_reason,language,country,lead_type,audience_size,last_active,evidence_url,topic,personalization_note,official_contact_page_url,source_file,verification_status
Asociacion Agraria - Jovenes Agricultores (ASAJA),http://asaja.com/,3_general_farming,General farming relevance,Spanish,Spain,farmer_association_group,,2026-07-08,https://copa-cogeca.eu/home/copa_members,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Asociacion Agraria - Jovenes Agricultores (ASAJA)'s young farmers community build trusted professional identity and direct buyer connections.,http://asaja.com/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
UPA JOVEN,https://facebook.com/upajoven,3_general_farming,General farming relevance,Spanish,Spain,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,young farmers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help UPA JOVEN's young farmers community build trusted professional identity and direct buyer connections.,https://facebook.com/upajoven,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Tanzania Horticultural Association,https://taha.or.tz/,3_general_farming,General farming relevance,Swahili/English,Tanzania,farmer_association_group,,2026-08-17,https://taha.or.tz/,horticulture producers,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Tanzania Horticultural Association's horticulture producers community build trusted professional identity and direct buyer connections.,https://taha.or.tz/contact-us,international_leads.csv,verified_official_site_and_public_contact_surface; no_contact_values_collected
Lantbrukarnas Riksförbund (LRF),https://lrf.se/,3_general_farming,General farming relevance,Swedish,Sweden,farmer_association_group,,2026-07-01,https://wfo-oma.org/members/list-members,farmer representation and market access,FarmerBook's professional farmer profiles and commission-free produce marketplace could help Lantbrukarnas Riksförbund (LRF)'s farmer representation and market access community build trusted professional identity and direct buyer connections.,https://lrf.se/,international_leads.csv,verified_current_official_member_directory; contact_surface_needs_manual_review
Bogolu Nithish Reddy,https://youtube.com/@BogoluNithishReddy,3_general_farming,General farming relevance,Telugu,,youtube_creator,110K,2026-03 (indexed relative date; exact day unavailable),https://youtube.com/@BogoluNithishReddy,Tractors; harvesters; farm machinery and agricultural implements,Its Telugu farm-machinery audience overlaps with commercially active growers who could benefit from FarmerBook professional profiles and direct buyer relationships.,https://youtube.com/@BogoluNithishReddy/about,telugu_leads.csv,medium_official_verified_channel_plus_recent_relative_date_index
Boss Wallah - Farming (Telugu),https://youtube.com/@bosswallahfarmingtelugu,3_general_farming,General farming relevance,Telugu,,youtube_creator,537K,2026-04-17,https://youtube.com/watch?v=8VTDGz8Jcjs,Livestock; aquaculture; crop cultivation; farm business and farmer success stories,Its agripreneur audience can use FarmerBook to turn farming expertise into credible profiles and connect directly with buyers and wholesalers without marketplace commission.,https://bosswallah.ai/blog/contact-us,telugu_leads.csv,high_official_channel_plus_exact_dated_video_and_official_site
DesiKheti Telugu,https://youtube.com/@desikheti.com_official,3_general_farming,General farming relevance,Telugu,,youtube_creator,,2026-04 (indexed relative date; exact day unavailable),https://youtube.com/channel/UCOaD46LaIytWSiHhUa70EFg,Chilli and vegetable varieties; farm inputs; farmer reviews and crop solutions,Its seed-and-crop audience is closely aligned with FarmerBook profiles that let growers present their crops professionally and connect with buyers and wholesalers without commission.,https://knowledge.desikheti.com/contact-us,telugu_leads.csv,high_official_channel_plus_recent_video_index_and_official_contact_page
hmr TELUGU AGRICULTURE,https://youtube.com/@hmrTELUGUAGRICULTURE,3_general_farming,General farming relevance,Telugu,,youtube_creator,,2026-04-16,https://ragidi.com/c/hmragri/video/XlijF_A38lU,Crop agronomy; chilli cultivation; integrated pest and disease management,Its scientist-led chilli and crop-protection audience is a strong fit for FarmerBook professional farmer profiles and commission-free connections to direct buyers and wholesalers.,https://youtube.com/@hmrTELUGUAGRICULTURE/about,telugu_leads.csv,high_official_handle_plus_dated_public_video_index
Indarapu Srinivas rao,https://youtube.com/@IndarapuSrinivasrao,3_general_farming,General farming relevance,Telugu,,youtube_creator,94.2K,2026-04-15,https://youtube.com/watch?v=ldw928-cvTs,Crop cultivation; solar fencing; farm infrastructure and practical field solutions,The channel's practical farm-infrastructure audience is well matched to FarmerBook profiles that connect verified growers directly with produce buyers and wholesalers.,https://youtube.com/@IndarapuSrinivasrao/about,telugu_leads.csv,high_official_channel_plus_exact_dated_video
telugu rythu vvr,https://youtube.com/channel/UCJ8ZVlSnkpxwImnPQcR2ndw,3_general_farming,General farming relevance,Telugu,,youtube_creator,153K,2025-08-22,https://youtube.com/watch?v=-SZdoSWaSTk,Cotton cultivation; fertilizers; pesticides; farmer and expert field guidance,Its cotton-growing audience is a natural fit for FarmerBook's professional farmer profiles and direct commission-free discovery by buyers and wholesalers.,https://youtube.com/channel/UCJ8ZVlSnkpxwImnPQcR2ndw/about,telugu_leads.csv,high_verified_channel_plus_exact_dated_video
Telugu Village Agriculture,https://youtube.com/@TeluguVillageAgriculture,3_general_farming,General farming relevance,Telugu,,youtube_creator,58.6K,2025-12 (indexed relative date; exact day unavailable),https://youtube.com/@TeluguVillageAgriculture,Vegetable cultivation; grafted brinjal; fertilizers; crop growth and pest management,Its crop-specific vegetable education can introduce FarmerBook as a place for growers to build professional profiles and reach buyers without commission.,https://youtube.com/@TeluguVillageAgriculture/about,telugu_leads.csv,medium_official_channel_plus_recent_relative_date_index
Kaveri Seeds Official,https://youtube.com/@KaveriSeedsCompanyLimited,3_general_farming,General farming relevance,Telugu / multilingual,,youtube_creator,23.5K,2026-08 (indexed as latest; publish day unavailable),https://creatorcontacts.com/c/UCz8Zh0IvXoX43ikPobLLmhw,Seed technology; crop solutions; farmer success stories and agricultural insights,Its Telugu farmer-testimonial and seed audience could help FarmerBook reach growers ready to build credible crop profiles and meet direct buyers or wholesalers.,https://kaveriseeds.in/contact-us,telugu_leads.csv,medium_official_company_channel_plus_current_latest_video_index
